ts,µ,σ²,qty_next_bar,realised_pnl,unrealised_pnl,equity
1998-09-01 10:41:00,-0.0225556406959536,5.814002394372856e-05,2660,0.0,0.0,100000.0
1998-09-01 10:44:00,-0.02244978258415496,5.839671729470307e-05,2660,0.0,0.0,100000.0
1998-09-01 10:48:00,-0.022573646232364988,5.827195313602925e-05,2634,0.0,0.0,100000.0
1998-09-01 10:55:00,-0.022862528229969935,4.798589764297227e-05,2609,0.0,0.0,100000.0
1998-09-01 11:01:00,-0.021942144459390744,6.347235636542966e-05,2660,0.0,0.0,100000.0
1998-09-01 11:03:00,-0.021953813213046756,6.34490896507589e-05,2660,0.0,0.0,100000.0
1998-09-01 11:07:00,-0.02320161074757337,5.225324998323e-05,2609,0.0,0.0,100000.0
1998-09-01 11:22:00,-0.02191052361641029,6.349384598326007e-05,2660,0.0,0.0,100000.0
1998-09-01 11:28:00,-0.022957695664348993,4.5686970148040085e-05,2634,0.0,0.0,100000.0
1998-09-01 11:34:00,-0.022246421784311007,5.3532770589961675e-05,2660,0.0,0.0,100000.0
1998-09-01 11:38:00,-0.022264671911158166,5.32976044476726e-05,2660,0.0,0.0,100000.0
1998-09-01 11:40:00,-0.023286277942139357,5.107590339181045e-05,2609,0.0,0.0,100000.0
1998-09-01 11:55:00,-0.0225419670553425,5.4074681617349136e-05,2660,0.0,0.0,100000.0
1998-09-01 12:12:00,-0.022476431056396132,5.4556510623635176e-05,2660,0.0,0.0,100000.0
1998-09-01 12:17:00,-0.02259722134378542,5.3666768926758885e-05,2660,0.0,0.0,100000.0
1998-09-01 12:18:00,-0.022626338956076582,5.335301876916921e-05,2660,0.0,0.0,100000.0
1998-09-01 12:22:00,-0.022309139541310054,4.861931807324988e-05,2660,0.0,0.0,100000.0
1998-09-01 12:25:00,-0.0222580017720184,5.3302591138271456e-05,2686,0.0,0.0,100000.0
1998-09-01 12:27:00,-0.022345911631159357,4.4618322512055465e-05,2660,0.0,0.0,100000.0
1998-09-01 12:32:00,-0.02328761161430455,5.17659498413914e-05,2609,0.0,0.0,100000.0
1998-09-01 12:33:00,-0.023281991839771476,5.2218334623050826e-05,2584,0.0,0.0,100000.0
1998-09-01 13:00:00,-0.022287039255380052,5.292930821015566e-05,2660,0.0,0.0,100000.0
1998-09-01 13:01:00,-0.022254557986254947,5.3284516619332505e-05,2686,0.0,0.0,100000.0
1998-09-01 13:19:00,-0.022811381338823204,5.305544501435175e-05,2634,0.0,0.0,100000.0
1998-09-01 13:28:00,-0.022353070939472197,5.548750182599444e-05,2686,0.0,0.0,100000.0
1998-09-01 13:31:00,-0.022626296098505444,5.408911125570338e-05,2660,0.0,0.0,100000.0
1998-09-01 14:07:00,-0.022280057863738933,5.297669811344712e-05,2686,0.0,0.0,100000.0
1998-09-01 14:21:00,-0.02252466556454761,5.4042367249817046e-05,2686,0.0,0.0,100000.0
1998-09-01 14:35:00,-0.022508654358155352,5.417728898374687e-05,2686,0.0,0.0,100000.0
1998-09-01 14:38:00,-0.02261646486228875,5.413618732149779e-05,2660,0.0,0.0,100000.0
1998-09-01 14:47:00,-0.02232389989366934,5.5621617084912894e-05,2686,0.0,0.0,100000.0
1998-09-01 14:49:00,-0.02216019013056534,5.378716178626254e-05,2686,0.0,0.0,100000.0
1998-09-01 15:09:00,-0.02260064312862364,5.428677407747653e-05,2686,0.0,0.0,100000.0
1998-09-01 15:10:00,-0.02254811848997613,5.395952720060174e-05,2686,0.0,0.0,100000.0
1998-09-01 15:13:00,-0.02283334571777052,5.296449860069186e-05,2660,0.0,0.0,100000.0
1998-09-01 15:16:00,-0.022361160446177242,4.815303492471959e-05,2686,0.0,0.0,100000.0
1998-09-01 15:17:00,-0.022397288474420428,4.7908838410551776e-05,2686,0.0,0.0,100000.0
1998-09-01 15:18:00,-0.02240245967146515,4.7589459614800925e-05,2686,0.0,0.0,100000.0
1998-09-01 15:20:00,-0.023018765481860427,4.501156904067476e-05,2660,0.0,0.0,100000.0
1998-09-01 15:29:00,-0.02283491321710199,3.991409173603477e-05,2660,0.0,0.0,100000.0
1998-09-01 15:35:00,-0.023007017273593208,4.500930487286502e-05,2634,0.0,0.0,100000.0
1998-09-01 15:36:00,-0.022255240316395673,5.341248916625714e-05,2713,0.0,0.0,100000.0
1998-09-01 15:40:00,-0.02225795481871121,5.336809463486491e-05,2713,0.0,0.0,100000.0
1998-09-01 15:46:00,-0.022256615927526195,5.343643972469575e-05,2713,0.0,0.0,100000.0
1998-09-01 15:54:00,-0.023024794710968816,4.503312898075621e-05,2660,0.0,0.0,100000.0
1998-09-02 09:33:00,-0.022959858087216137,4.1811250121955635e-05,2660,0.0,0.0,100000.0
1998-09-02 09:35:00,-0.02225771301488044,5.338478969462037e-05,2713,0.0,0.0,100000.0
1998-09-02 09:38:00,-0.022410193542632732,4.747901974050706e-05,2686,0.0,0.0,100000.0
1998-09-02 09:50:00,-0.022261290481612763,5.330525782150367e-05,2713,0.0,0.0,100000.0
1998-09-02 09:54:00,-0.02226000181394905,5.337600923171588e-05,2713,0.0,0.0,100000.0
1998-09-02 10:16:00,-0.022404856238158993,4.374064648339084e-05,2686,0.0,0.0,100000.0
1998-09-02 10:25:00,-0.02285442887981561,3.9951203010405264e-05,2686,0.0,0.0,100000.0
1998-09-02 10:30:00,-0.02231876398455304,4.435266376497874e-05,2686,0.0,0.0,100000.0
1998-09-02 10:32:00,-0.02294834613524689,5.053390963067532e-05,2686,0.0,0.0,100000.0
1998-09-02 10:33:00,-0.022278228735859943,5.311514741920553e-05,2713,0.0,0.0,100000.0
1998-09-02 10:37:00,-0.022427409382007903,4.7350478396146576e-05,2686,0.0,0.0,100000.0
1998-09-02 10:39:00,-0.022846511810795476,3.973569986475748e-05,2686,0.0,0.0,100000.0
1998-09-02 10:52:00,-0.02243843505134135,4.72818047702829e-05,2686,0.0,0.0,100000.0
1998-09-02 10:53:00,-0.022345815680470078,4.7832025123938424e-05,2713,0.0,0.0,100000.0
1998-09-02 11:03:00,-0.02236671582817681,4.773608550551784e-05,2713,0.0,0.0,100000.0
1998-09-02 11:15:00,-0.0228336216333969,3.991063090791744e-05,2686,0.0,0.0,100000.0
1998-09-02 11:27:00,-0.02302181151460921,4.539488617248957e-05,2660,0.0,0.0,100000.0
1998-09-02 11:33:00,-0.02300108855468657,4.4870453015262634e-05,2686,0.0,0.0,100000.0
1998-09-02 11:42:00,-0.02283357195824752,3.9922972401395396e-05,2686,0.0,0.0,100000.0
1998-09-02 12:00:00,-0.02262568977707497,4.871824624885133e-05,2713,0.0,0.0,100000.0
1998-09-02 12:01:00,-0.022360044936894516,4.7688685323480455e-05,2713,0.0,0.0,100000.0
1998-09-02 12:06:00,-0.02303169231387759,4.53814161468968e-05,2660,0.0,0.0,100000.0
1998-09-02 12:07:00,-0.022302438929706642,4.457128196599503e-05,2713,0.0,0.0,100000.0
1998-09-02 12:09:00,-0.022236397716672122,5.3620857379793476e-05,2741,0.0,0.0,100000.0
1998-09-02 12:14:00,-0.02239963356963698,4.768596063464758e-05,2713,0.0,0.0,100000.0
1998-09-02 12:15:00,-0.02294966316078857,5.058265518047783e-05,2686,0.0,0.0,100000.0
1998-09-02 12:19:00,-0.022438014338911502,4.7362273093532954e-05,2686,0.0,0.0,100000.0
1998-09-02 12:37:00,-0.022357364381268625,4.809886603909095e-05,2713,0.0,0.0,100000.0
